"Posição 'x' e 'y' - Pata 2"

"Time      "	"X"	"Y"
2.412000e+00	3.135174e+02	9.953232e+01
2.424000e+00	3.140109e+02	9.993077e+01
2.436000e+00	3.145129e+02	1.003397e+02
2.448000e+00	3.150232e+02	1.007589e+02
2.460000e+00	3.155414e+02	1.011886e+02
2.472000e+00	3.160673e+02	1.016285e+02
2.484000e+00	3.166004e+02	1.020786e+02
2.496000e+00	3.171405e+02	1.025388e+02
2.508000e+00	3.176872e+02	1.030092e+02
2.520000e+00	3.182403e+02	1.034896e+02
2.532000e+00	3.187993e+02	1.039799e+02
2.544000e+00	3.193639e+02	1.044801e+02
2.556000e+00	3.199339e+02	1.049902e+02
2.568000e+00	3.205089e+02	1.055099e+02
2.580000e+00	3.210886e+02	1.060393e+02
2.592000e+00	3.216726e+02	1.065782e+02
2.604000e+00	3.222607e+02	1.071266e+02
2.616000e+00	3.228524e+02	1.076844e+02
2.628000e+00	3.234476e+02	1.082514e+02
2.640000e+00	3.240459e+02	1.088275e+02
2.652000e+00	3.246470e+02	1.094127e+02
2.664000e+00	3.252505e+02	1.100069e+02
2.676000e+00	3.258562e+02	1.106098e+02
2.688000e+00	3.264637e+02	1.112214e+02
2.700000e+00	3.270728e+02	1.118416e+02
2.712000e+00	3.276831e+02	1.124702e+02
2.724000e+00	3.282945e+02	1.131071e+02
2.736000e+00	3.289064e+02	1.137522e+02
2.748000e+00	3.295188e+02	1.144052e+02
2.760000e+00	3.301312e+02	1.150661e+02
2.772000e+00	3.307434e+02	1.157347e+02
2.784000e+00	3.313552e+02	1.164108e+02
2.796000e+00	3.319662e+02	1.170943e+02
2.808000e+00	3.325762e+02	1.177850e+02
2.820000e+00	3.331850e+02	1.184826e+02
2.832000e+00	3.337921e+02	1.191871e+02
2.844000e+00	3.343975e+02	1.198982e+02
2.856000e+00	3.350008e+02	1.206158e+02
2.868000e+00	3.356018e+02	1.213396e+02
2.880000e+00	3.362003e+02	1.220695e+02
2.892000e+00	3.367959e+02	1.228052e+02
2.904000e+00	3.373885e+02	1.235466e+02
2.916000e+00	3.379779e+02	1.242933e+02
2.928000e+00	3.385638e+02	1.250452e+02
2.940000e+00	3.391460e+02	1.258021e+02
2.952000e+00	3.397242e+02	1.265638e+02
2.964000e+00	3.402984e+02	1.273299e+02
2.976000e+00	3.408682e+02	1.281002e+02
2.988000e+00	3.414335e+02	1.288746e+02
3.000000e+00	3.419941e+02	1.296528e+02
3.012000e+00	3.425498e+02	1.304344e+02
3.024000e+00	3.431004e+02	1.312193e+02
3.036000e+00	3.436457e+02	1.320072e+02
3.048000e+00	3.441857e+02	1.327978e+02
3.060000e+00	3.447200e+02	1.335908e+02
3.072000e+00	3.452486e+02	1.343861e+02
3.084000e+00	3.457713e+02	1.351832e+02
3.096000e+00	3.462880e+02	1.359820e+02
3.108000e+00	3.467985e+02	1.367821e+02
3.120000e+00	3.473027e+02	1.375832e+02
3.132000e+00	3.478005e+02	1.383851e+02
3.144000e+00	3.482918e+02	1.391875e+02
3.156000e+00	3.487763e+02	1.399901e+02
3.168000e+00	3.492542e+02	1.407925e+02
3.180000e+00	3.497251e+02	1.415945e+02
3.192000e+00	3.501891e+02	1.423957e+02
3.204000e+00	3.506460e+02	1.431959e+02
3.216000e+00	3.510958e+02	1.439948e+02
3.228000e+00	3.515384e+02	1.447919e+02
3.240000e+00	3.519737e+02	1.455871e+02
3.252000e+00	3.524017e+02	1.463800e+02
3.264000e+00	3.528223e+02	1.471703e+02
3.276000e+00	3.532354e+02	1.479577e+02
3.288000e+00	3.536411e+02	1.487418e+02
3.300000e+00	3.540392e+02	1.495223e+02
3.312000e+00	3.544297e+02	1.502989e+02
3.324000e+00	3.548126e+02	1.510712e+02
3.336000e+00	3.551880e+02	1.518391e+02
3.348000e+00	3.555556e+02	1.526020e+02
3.360000e+00	3.559156e+02	1.533597e+02
3.372000e+00	3.562680e+02	1.541119e+02
3.384000e+00	3.566126e+02	1.548581e+02
3.396000e+00	3.569497e+02	1.555982e+02
3.408000e+00	3.572790e+02	1.563317e+02
3.420000e+00	3.576007e+02	1.570584e+02
3.432000e+00	3.579148e+02	1.577779e+02
3.444000e+00	3.582212e+02	1.584898e+02
3.456000e+00	3.585201e+02	1.591938e+02
3.468000e+00	3.588114e+02	1.598897e+02
3.480000e+00	3.590952e+02	1.605770e+02
3.492000e+00	3.593715e+02	1.612554e+02
3.504000e+00	3.596403e+02	1.619247e+02
3.516000e+00	3.599017e+02	1.625844e+02
3.528000e+00	3.601558e+02	1.632342e+02
3.540000e+00	3.604025e+02	1.638739e+02
3.552000e+00	3.606420e+02	1.645030e+02
3.564000e+00	3.608742e+02	1.651213e+02
3.576000e+00	3.610993e+02	1.657284e+02
3.588000e+00	3.613173e+02	1.663239e+02
3.600000e+00	3.615282e+02	1.669077e+02
3.612000e+00	3.617321e+02	1.674792e+02
3.624000e+00	3.619291e+02	1.680383e+02
3.636000e+00	3.621193e+02	1.685846e+02
3.648000e+00	3.623026e+02	1.691177e+02
3.660000e+00	3.624792e+02	1.696374e+02
